customer_id,age,tenure,monthly_charges,total_charges,contract,internet_service,payment_method,support_tickets,tech_support,senior_citizen,partner,dependents,churn
CUST_000001,23,15,41.81,631.72,One year,DSL,Bank transfer,6,No,0,Yes,Yes,0
CUST_000002,62,3,86.29,274.21,One year,DSL,Credit card,3,No,0,No,No,1
CUST_000003,55,46,96.69,4174.02,Month-to-month,DSL,Electronic check,2,Yes,0,No,No,0
CUST_000004,43,50,36.66,1683.03,Month-to-month,No,Electronic check,0,No,1,No,No,0
CUST_000005,42,56,24.39,1429.67,Month-to-month,Fiber optic,Bank transfer,2,Yes,1,Yes,No,0
CUST_000006,66,69,63.96,3990.79,Month-to-month,DSL,Mailed check,3,Yes,0,Yes,No,0
CUST_000007,22,36,97.4,3517.29,Month-to-month,DSL,Bank transfer,5,No,0,Yes,Yes,0
CUST_000008,57,60,85.08,5315.45,Two year,No,Bank transfer,1,No,1,No,No,0
CUST_000009,29,52,90.19,4846.5,Month-to-month,Fiber optic,Bank transfer,1,Yes,0,Yes,Yes,0
CUST_000010,23,20,60.28,1208.03,Month-to-month,Fiber optic,Electronic check,2,No,0,No,No,1
CUST_000011,48,61,43.49,2802.14,One year,DSL,Mailed check,3,No,0,No,No,0
CUST_000012,73,4,73.18,297.99,Month-to-month,DSL,Credit card,0,Yes,0,No,Yes,1
CUST_000013,59,44,40.44,1894.46,Month-to-month,No,Mailed check,1,Yes,1,Yes,No,0
CUST_000014,61,68,92.62,6399.93,Month-to-month,Fiber optic,Mailed check,2,Yes,0,Yes,Yes,0
CUST_000015,58,48,39.7,1879.85,Two year,Fiber optic,Electronic check,2,No,1,Yes,No,0
CUST_000016,62,68,49.13,3406.14,Month-to-month,No,Electronic check,5,No,0,Yes,No,0
CUST_000017,47,5,70.65,347.96,One year,Fiber optic,Mailed check,0,No,1,Yes,No,1
CUST_000018,25,39,68.67,2522.56,One year,No,Mailed check,3,Yes,0,Yes,No,0
CUST_000019,65,57,80.08,4538.45,Month-to-month,DSL,Bank transfer,3,Yes,0,No,Yes,0
CUST_000020,43,47,63.74,3264.25,One year,DSL,Bank transfer,2,Yes,0,No,No,0
CUST_000021,46,64,111.95,7290.78,Month-to-month,No,Credit card,1,No,1,No,No,0
CUST_000022,39,34,103.99,3697.15,Month-to-month,No,Credit card,2,No,0,Yes,No,1
CUST_000023,28,50,107.91,5565.23,Month-to-month,Fiber optic,Electronic check,1,No,0,No,Yes,0
CUST_000024,70,31,82.95,2551.59,Two year,Fiber optic,Electronic check,3,No,0,Yes,No,0
CUST_000025,62,63,83.5,5162.87,Month-to-month,No,Credit card,2,Yes,0,No,No,0
CUST_000026,54,9,80.92,684.35,Month-to-month,Fiber optic,Electronic check,1,Yes,0,No,No,0
